Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-4488;1143952;Satıcının Var Olan Sözleşmesinin Ödeme Koşulu Boş Gelmektedir;Medium;;Done;10/Jun/22 2:03 PM;;C9013624;C9013170;;;;CONG-4478;;;;;;;;;;
CONG-4516;1149389;Doldurulmus alanın kullanıcıya onaya gönderme aşamasında alanı doldurunuz hata mesajının  alınması;Medium;;Done;14/Jun/22 3:04 PM;;C9013624;26067460;;;;;;CONG-3572;;;;;;;;
CONG-4525;1149920;Local Tedarikçi ile Oluşturulan Vade Artışı Taleplerin Oluşturulamaması;Medium;;Done;14/Jun/22 5:23 PM;;C9013624;26049796;;;;CONG-2237;CONG-2284;;;;;;;;;
CONG-4526;1149930;Yöneticilik alanında ekranda görüntülenen yöneticilik isimlerinin dil çeviri hatası ;Medium;;Done;14/Jun/22 5:33 PM;;C9013624;26049796;;;;CONG-2223;;;;;;;;;;
CONG-4533;1151159;"Sayfanın dili Türkçe iken, kullanıcı tarafından masraf Kaydet butonuna tıklandığında gözüken masraf kartından masrafı Sil yapıldığında açılan pop-up'ta Onayla butonunun Approve olarak İngilizce gözükmesi";Low;;Done;15/Jun/22 11:26 AM;;C9015107;C9015107;;;;;;;;;;CONG-4524;;;;
CONG-4552;1153225;Kullanıcı tarafından gönderilen masraf taleplerinin approver'larda gözükmemesi;High;;Done;16/Jun/22 9:20 AM;;C9015107;26069396;;;;;;;;;;CONG-4434;CONG-1355;;;
CONG-4558;1154016;Connectax-test giriş ekranında yazı hatası;Medium;;Done;16/Jun/22 2:19 PM;;C9015118;26075977;;;;CONG-4450;;;;;;;;CONG-4450;;
CONG-4579;1156256;Satıcının yeni ödeme koşulu mevcut odeme eşit olması durumunda iş akışı durmamaktadır;Medium;;Done;17/Jun/22 2:17 PM;;C9013624;26049796;;;;CONG-3280;;;;;;;;;;
CONG-4583;1156912;Formda doldurulan  alanın boş olarak algılanması;Medium;;Done;17/Jun/22 5:21 PM;;C9013624;26067460;;;;CONG-3339;;;;;;;;;;
CONG-4585;1156950;Formda doldurulan alanın kaydetme fonksiyonu sonrasında kaydedilmemiş olması ;Medium;;Done;17/Jun/22 6:45 PM;;C9013624;26067460;;;;CONG-2251;;;;;;;;;;
CONG-4613;1164261;"Masraf tipi Yazılım-Uygulama olan bir masrafın First Approver'da geri gönderildikten sonra harcama sebebinin kullanıcıya undefined olarak dönmesi, kullanıcının masrafı tekrar kaydedip yöneticiye gönderebilmesi hatası";Medium;;Done;20/Jun/22 4:48 PM;;C9015107;26069396;;;;;;;;;;CONG-4219;;CONG-4425;CONG-5096;
CONG-4702;1170847;Havuzdan Al butonunun formatının düzeltilmesi;Medium;;Done;23/Jun/22 11:28 AM;;C9012751;C9012248;;;;;;;;;;;;CONG-3775;;
CONG-4760;1177528;Kullanıcı masraf talebi oluşturmak için Masraf Yönetimi butonuna tıkladığında HTTP 500 hatası alınması;High;;Done;27/Jun/22 9:20 AM;;C9015107;C9011306;;;;;;;;;;CONG-4220;;;;
