Key;Issue id;Summary;Priority;Custom field (Test Type);Resolution;Created;Custom field (TestRunStatus);Reporter;Assignee;Custom field (Test Repository Path);Custom field (Lokasyon Text);Custom field (Location Code);Inward issue link (Defect);Inward issue link (Defect);Outward issue link (Defect);Outward issue link (Gantt End to End);Inward issue link (Gantt End to Start);Inward issue link (Parents);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Tests)
CONG-8842;1428493;Kullanıcıda masraf talebi oluştururken sol menüdeki Açıklama alanına değer girildikten sonra Kaydet butonuna tıklandığında aksiyon alınmamaktadır.;Medium;;Done;03/Nov/22 4:48 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8339;CONG-8839;;;
CONG-8843;1428497;Kullanıcıda masraf talebi oluştururken sol menüdeki Yorum alanına değer girildikten sonra Kaydet butonuna tıklandığında aksiyon alınmamaktadır.;Medium;;Done;03/Nov/22 4:50 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-8839;;;;
CONG-8852;1432600;İki onaycılı izinlerde ilk yöneticiye izin onaylatıldıktan sonra izin tarihinde değişiklik yapılırsa tekrardan ilk onaycıya düşmüyor;High;;Done;04/Nov/22 3:46 PM;;C9015118;C9012248;;;;CONG-2377;;;;;;;;;;
CONG-8873;1436939;my tasks'ta cancel olan görevlerin detayı görüntülenememektedir;Medium;;Done;07/Nov/22 2:58 PM;;C9018649;C9018649;;;;CONG-5589;;;;;;;;;;
CONG-8950;1448345;Tr kullanıcısı ile masraf dağılımlı Yemek masraf tipindeki talep kaydedilerek Gönder butonuna tıklandığında SAP hatası alınmaktadır;Medium;;Done;10/Nov/22 8:08 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-7797;;;;
CONG-8951;1448349;Romanya kullanıcısı ile Fuel masraf tipindeki talebin tutarı otomatik hesaplanması gereken tarihte hesaplanmamaktadır ve manuel olarak yazılmak istendiğinde de textboxa tıklanamamaktadır.;High;;Done;10/Nov/22 8:26 PM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-7743;;;;
CONG-9009;1454647;"Yeni bir Quote eklendikten sonra ""Save"" butonuna tıklanır ve Quote'ın kaydedilmediği görülür";Medium;;Done;14/Nov/22 5:37 PM;;C9018649;C9015441;;;;CONG-9008;;;;;;CONG-9130;;;;
CONG-9010;1454595;Yeni bir adres eklendiğinde zorunlu alanların doldurulması halinde alt satırda zorunludur yazısı gelmektedir;Medium;;Done;14/Nov/22 6:03 PM;;C9013624;C9015441;;;;CONG-8992;;;;;;;;;;
CONG-9019;1456940;"PO formunda delete butonuna tıklandıktan sonra çıkan uyarıdaki ""cancel"" butonu çalışmamakta";Medium;;Done;15/Nov/22 12:04 PM;;C9018649;C9015441;;;;CONG-9030;;;;;;CONG-9030;;;;
CONG-9069;1463822;Teklif alanından onaya gönderilme işlemi sonrası detay alanından doldurulan alanlar teklif alanında zorunludur yazısı ile karşılaşmaktadır;Medium;;Won't Do;16/Nov/22 6:30 PM;;C9013624;C9015441;;;;CONG-9067;;;;;;CONG-9130;;;;
CONG-9125;1465740;Mesai dışı saatlik izin alımında talep edilen saat görünmüyor;Low;;;17/Nov/22 3:26 PM;;C9015118;26066507;;;;CONG-3175;;;;;;;;;;
CONG-9184;1472560;Select file kısmından .gif uzantılı dokümanlar yüklenmiyor;Low;;;21/Nov/22 4:04 PM;;C9018649;26065609;;;;CONG-9186;;;;;;;;;;
CONG-9185;1472742;Html formatında eklenen dosya eklenmemektedir ;Low;;;21/Nov/22 4:09 PM;;C9013624;26065609;;;;CONG-9183;;;;;;;;;;
CONG-9275;1481003;Test ekranında mali işler için  yurtiçi seyahatte posting date ve wbs alanı değişikliğe açık olmalı;Medium;;Done;24/Nov/22 11:55 AM;;26030498;C9013957;;;;;;;;;PRJ-757;CONG-9495;CONG-9530;;;
CONG-9299;1487322;0046 Expense Check Pre Approved api hatası;Medium;;Done;28/Nov/22 9:27 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-6202;;;;
CONG-9360;1500109;Ön Onay Kontrolünde 30 Gün Kontrolü için düzenleme;High;;Done;30/Nov/22 5:11 PM;;C9013486;C9013957;;;;;;;;;PRJ-757;CONG-9578;;CONG-9543;;
CONG-9361;1500031;Çıkış ekranında Resim Değiştirilememekte;High;;;30/Nov/22 5:16 PM;;C9013624;26049796;;;;CONG-9362;;;;;;;;;;
CONG-9367;1500895;Romanya kullanıcısı ile masraf talebi girerken yüksek boyutlu dosya yüklendiğinde alınan iş kesici mesaj Romanian dilinde olmamıza rağmen İngilizce gözükmektedir;Low;;Done;01/Dec/22 9:30 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-7760;;;;
CONG-9375;1502401;Türkçe dili seçili iken geçmiş görevlerim sayfasında tüm alanlar türkçe çevrilmiyor;Medium;;Done;01/Dec/22 1:54 PM;;C9013624;26067460;;;;CONG-2212;;;;;;;;;;
CONG-9382;1502741;Fuel masraf tipinde Tutar değeri Tarih parametresi en son seçildiğinde hesaplanmamaktadır.;Medium;;Done;01/Dec/22 3:58 PM;;C9015107;C9013691;;;;;;;;;PRJ-757;CONG-9398;CONG-7653;;;
CONG-9391;1504408;"Mali işler yöneticisinde masraf talep detaylarına gidildiğinde Bridge, Highway etc masraf tipi için Ek Dosya gözükmemektedir";Medium;;Done;02/Dec/22 11:08 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-9394;;;;
CONG-9403;1506071;Sıralama alanında Id bilgisine göre sıralama yapılmıyor;Medium;;Done;02/Dec/22 3:00 PM;;C9013624;C9015441;;;;CONG-9404;;;;;;;;;;
CONG-9456;1511646;Türkçe Dili Seçili İken Tarih Alanında Yazıların Tümü Türkçeye Çevrilmiyor;High;;Done;06/Dec/22 11:59 AM;;C9013624;C9015441;;;;CONG-9442;;;;;;;;;;
CONG-9518;1514253; Türkçe dili seçili iken hata mesajı ingilizce dilinde görüntülenmektedir;High;;Done;07/Dec/22 12:27 PM;;C9013624;C9015441;;;;CONG-9515;;;;;;;;;;
CONG-9525;1514278;Hiyerarşi sorumlusuna göre filtreleme yapılamamaktadır;High;;Done;07/Dec/22 1:07 PM;;C9013624;C9015441;;;;CONG-9524;CONG-9555;;;;;;;;;
CONG-9553;1515015;Onaya tekrar gönder filtresi çalışmamakta;High;;Done;07/Dec/22 3:43 PM;;C9013624;C9015441;;;;CONG-9552;;;;;;;;;;
CONG-9558;1514990;Kullanıcı aynı paket içerisinde ilk masrafı oluşturduktan sonra 2. kez aynı masraf detaylarına sahip masrafı oluşturmak istediği durumda Kaydet butonuna bastığında ekranda Aynı Masraf mesajı gözükmemektedir.;Low;;Done;07/Dec/22 4:16 PM;;C9015107;C9013486;;;;;;;;;PRJ-757;CONG-5473;;;;
CONG-9602;1517273;Purchase Order modulune giriş yaparken erişim sağlanmıyor;Blocker;;Done;08/Dec/22 2:10 PM;;C9013624;C9015441;;;;CONG-9605;;;;;;;;;;
CONG-9608;1517473;"Francesco Nicola Misurelli ilgili po onaylayamamkta , onayına hiç düşmemekte";Blocker;;;08/Dec/22 3:21 PM;;C9018649;26065609;;;;CONG-9088;;;;;;;;;;
CONG-9616;1518946;Yüksek Tutarda Oluşturulan Talep Onaycı Tarafından Reddedilmemekte;High;;Done;09/Dec/22 10:27 AM;;C9013624;26065609;;;;CONG-9615;;;;;;;;;;
CONG-9627;1519916;Masraf Kategorisi seçildikten sonra masraf formu gözükmemektedir.;Medium;;Done;09/Dec/22 3:03 PM;;C9015107;C9013486;;;;;;;;;PRJ-757;CONG-1897;;;;
CONG-9652;1521140;Romanya kullanıcısı ile masraf talebi kopyalanarak limitten fazla tutarın onaya gönderilmesi;High;;Done;11/Dec/22 6:51 PM;;C9015107;C9013691;;;;;;;;;PRJ-757;CONG-8051;;;;
CONG-9654;1521676;Polonya kullanıcısı Polish dilindeyken alınan Limit iş kesici mesaj textinin yarısının İngilizce gözükmesi;Low;;Done;12/Dec/22 9:21 AM;;C9015107;C9015107;;;;;;;;;PRJ-757;CONG-9593;;;;
CONG-9665;1523945;Kullanıcı Yeni Bir Satıcı Eklemek İstediğinde Adres Alanının Kaydet Fonksiyonu ile Kaybedilmesi;High;;Done;12/Dec/22 7:10 PM;;C9013624;C9015441;;;;CONG-9663;;;;;;;;;;
CONG-9668;1523966;Kullanıcı Tarafından Yeni Teslimat Tarihi Girişinde Zorunlu Olan Posta Kodu Girilmeden Onaya Gönderilebilirken Hata Mesajı Alınmamakta;High;;Done;12/Dec/22 8:19 PM;;C9013624;C9015441;;;;CONG-9667;;;;;;;;;;
CONG-9686;1526423;Yorum alanı doldurularak kaydedilen formun onaya gönderme işlemi sırasında yorum alanı zorunludur yazısı çıkmakta;High;;Done;13/Dec/22 4:43 PM;;C9013624;C9015441;;;;CONG-9684;;;;;;CONG-9720;;;;
CONG-9726;1532688;Tr kullanıcısı ile Fuel/LPG masraf tipinde talep oluşturulmak istendiğinde Tutar alanı otomatik gelmemektedir.;Medium;;Done;16/Dec/22 11:20 AM;;C9015107;C9013486;;;;;;;;;PRJ-757;CONG-2034;;;;
CONG-9732;1533872;Listeleme Ekranında Kopyalama Fonksiyonu Çalışmamakta;High;;Done;16/Dec/22 5:33 PM;;C9013624;C9013624;;;;CONG-9112;;;;;;;;;;
CONG-9850;1553268;İzin değiştirme ekranında saat barı yazı hatası;High;;Done;23/Dec/22 12:00 PM;;C9015118;;;;;CONG-2377;;;;;;;;;;
CONG-9868;1556323;Romanya kullanıcısı ile ek dosya bulunan masraf talebinin kopyalanarak yöneticiye gönderilmek istendiğinde alınan parametrik ek dosya iş kesici mesaj texti doğru yansımamaktadır.;Low;;Done;26/Dec/22 10:59 AM;;C9015107;C9005239;;;;;;;;;;CONG-7795;;;;
CONG-9880;1557242;Polonya kullanıcısı ile onaya gönderilmek istenen masraf talebi Draft satüsünde kalmaktadır.;High;;Done;26/Dec/22 3:49 PM;;C9015107;C9013486;;;;;;;;;;CONG-8354;;;;
CONG-9881;1557243;Polonya kullanıcısı ile kart görünümünde expense category değeri key olarak gözükmektedir;Low;;Done;26/Dec/22 3:50 PM;;C9015107;C9005239;;;;;;;;;;CONG-8839;;;;
CONG-9924;1563246;PO Formundaki Tarih Alanları Silindikten Sonra Başlangıç Tarihi Alanı Girilmemektedir;High;;Done;28/Dec/22 5:34 PM;;C9013624;C9015441;;;;CONG-9923;;;;;;;;;;
CONG-9925;1563055;Tr Arge çalışanı ile Pyp zorunlu alanı girilmeden masraf kaydedilmek istendiğinde masraf kaydedilmektedir.;Medium;;Done;28/Dec/22 6:21 PM;;C9015107;C9013486;;;;;;;;;;CONG-4653;;;;
CONG-9932;1564715;Sipariş Bitiş Tarihi Başlangıç Tarihinden Önceki Gün Seçilebiliyor;High;;Done;29/Dec/22 10:04 AM;;C9013624;C9015441;;;;CONG-9929;;;;;;CONG-9951;;;;
CONG-9938;1567049;Saat ücretli çalışan izinlerim sayfasında dili ingilizce yapınca comboboxta uzaktan çalışma izni boş gelmektedir;Medium;;Done;29/Dec/22 11:56 AM;;C9015118;C9012248;;;;CONG-10025;;;;;;SM-635236;;;;
CONG-9941;1568955;PO listeleme ekranında yer alan serch alanında tüm kolon bilgileirne göre arama yapılabilmeli;High;;Done;30/Dec/22 9:20 AM;;C9018649;C9015441;;;;CONG-9445;;;;;;;;;;
CONG-9944;1570622;"Tüm ülkelerde, Ön Onay ve Şehir İçi Seyahatte onaylayan kişi ve onaya gönderen kişi yorumlarda aynı gözükebilmektedir.";Medium;;Done;30/Dec/22 2:26 PM;;C9015107;C9005239;;;;;;;;;;CONG-4456;CONG-10094;;;
CONG-9947;1570912;Masraf akış esnasında boş popup gözükebilmektedir.;Medium;;Done;30/Dec/22 5:03 PM;;C9015107;C9015107;;;;;;;;;;CONG-7781;CONG-10002;;;
CONG-9948;1570774;Yerel Para Biriminden Farklı Para Birimi Seçildiğinde Tutar Hesaplama Seçili Para Birimi ile Gelmememekte;Medium;;Won't Do;30/Dec/22 5:17 PM;;C9013624;C9015441;;;;CONG-9946;CONG-9986;;;;;;;;;
CONG-9960;1573368;Polonya kullanıcısı ile masraf oluştururken aynı Referans Kod ile iki masraf oluşturulduğunda ya da bir masraf kopyalandığında Aynı Referans Kod kaynaklı iş kesici mesaj gözükmemektedir.;Medium;;Done;02/Jan/23 11:46 AM;;C9015107;C9013486;;;;;;;;;;CONG-8358;CONG-8359;;;
CONG-9961;1573419;Polonya kullanıcısı ile 450 PLN üstünde masraf talebi limite takılmadan oluşturulmaktadır.;High;;Done;02/Jan/23 11:54 AM;;C9015107;C9013486;;;;;;;;;;CONG-8364;;;;
CONG-9974;1573871;Tr kullanıcısı ile aynı gün Yakıt masraf tipi seçildiğinde tutar otomatik olarak hesaplanmamaktadır.;Medium;;Done;02/Jan/23 2:11 PM;;C9015107;C9013486;;;;;;;;;;CONG-4367;;;;
CONG-9975;1573889;"Pazarlama kullanıcısı ile Yakıt masraf tipi seçilerek diğer alanlar doldurulmadan Kaydet butonuna tıklandığında Ek Dosya zorunlu alan kısmında ""Google Maps"" texti gözükmektedir.";Medium;;Done;02/Jan/23 2:25 PM;;C9015107;C9013486;;;;;;;;;;CONG-8471;;;;
CONG-10008;1578183;Ön Onay Formu için TR kullanıcısı ile onaylanan masraf sonrası yöneticide ve mali işlerde masraf talebinin kart ve liste görünümünde expense category değeri key olarak gözükmektedir;Low;;Done;03/Jan/23 6:44 PM;;C9015107;C9013691;;;;;;;;;;CONG-10313;CONG-8839;;;
CONG-10015;1579302;"Tr mali işler kullanıcısı ile onaylanması gereken mali işler grubu masrafları onaylanamamakta, mali işler grubu değiştirildiğinde onaylanmaktadır.";High;;Done;04/Jan/23 10:53 AM;;C9015107;C9013486;;;;;;;;;;CONG-5583;;;;
CONG-10022;1579787;Geri Gönderilen bir masrafın kullanıcı tarafından tekrar onaya gönderildiği halde onaycıda gözükmemektedir.;High;;Done;04/Jan/23 2:09 PM;;C9015107;C9013486;;;;;;;;;;CONG-4221;;;;
CONG-10030;1581202;Yönetici onay sayfasında havuzdan al butonunda yanlış pop-up mesajı geliyor;Medium;;Done;04/Jan/23 4:19 PM;;C9015118;C9012248;;;;CONG-9461;;;;;;;;;;
CONG-10039;1582822;Tr kullanıcısı ile masraf dağılımlı Yemek tipinde masraf talebi oluşturulduğunda 240.01 ve 240.02 TL değerleri için iş kesici mesaj eksik veya yanlış gelmektedir.;Medium;;Done;05/Jan/23 11:37 AM;;C9015107;C9015107;;;;;;;;;;CONG-7796;CONG-8620;;;
CONG-10099;1587084;Teklif Sipariş Satırı Alanları Arasında Zorunlu Tutulan Satıcı Alanı Doldurulmadan Onaya Gönderilebilmekte;High;;Done;06/Jan/23 4:59 PM;;C9013624;C9015441;;;;CONG-10098;;;;;;;;;;
CONG-10116;1590835;Tüm ülkelerde masraf girişi esnasında Tutar alanı tıklanamamaktadır ve değer girilememektedir.;High;;Done;09/Jan/23 2:04 PM;;C9015107;C9014551;;;;;;;;;;CONG-9487;CONG-5517;;;
CONG-10140;1592356;İzin değişiklik talebi yaparken gönder butonu çalışmıyor;Medium;;Done;10/Jan/23 9:22 AM;;C9015118;C9012248;;;;CONG-9508;;;;;;;;;;
CONG-10148;1592768;Polonya mali işler kullanıcısı ile taleplerden birinin detayına gidilerek Onaylanan Tutar alanı değiştirilip Kaydet butonuna tıklandığında Same Reference Code hatası alınmaktadır.;High;;Done;10/Jan/23 10:36 AM;;C9015107;C9015107;;;;;;;;;;CONG-10147;;;;
CONG-10176;1594119;Formda company kod alanına tıklandığında patlıyor;High;;Done;10/Jan/23 2:24 PM;;C9013624;C9015441;;;;CONG-10171;;;;;;;;;;
CONG-10211;1600484;Romanya kullanıcısı ile masraf talebi girerken Tutar alanı tıklanabilir gelmemektedir.;High;;Done;12/Jan/23 2:42 PM;;C9015107;C9015107;;;;;;;;;;CONG-7738;;;;
CONG-10213;1600802;Polonya kullanıcısı ile masraf kartında Kopyala butonuna tıklandığında veya Aynı Referans Kod ile aynı pakette başka bir masraf oluşturulmak istendiğinde Aynı Referans Kod kaynaklı iş kesici mesaj gözükmemektedir ve masraf kopyalanabilmektedir.;Medium;;Done;12/Jan/23 3:20 PM;;C9015107;C9015107;;;;;;;;;;CONG-8359;;;;
CONG-10247;1606005;Polonya kullanıcısı ile mali işlerde Onaylanan Tutar değiştirilip kaydedildiğinde Polish dilindeyken yorumlarda Partial Approval yazmaktadır.;Low;;Done;14/Jan/23 3:06 PM;;C9015107;C9013957;;;;;;;;;;CONG-10147;;;;
CONG-10248;1606127;Kullanıcı ile masraf talebi oluşturulurken Mali İşler Grubu gelmemektedir;High;;Done;14/Jan/23 9:11 PM;;C9015107;C9015107;;;;;;;;;;CONG-10218;;;;
CONG-10249;1606129;Tr kullanıcısı ile Mali İşlerde Gönderim Tarihi güncellenerek masraf onaylanmak istendiğinde iş kesici mesaj gözükmektedir.;Medium;;Done;14/Jan/23 9:26 PM;;C9015107;C9013957;;;;;;;;;;CONG-4238;;;;
CONG-10281;1609963;Aynı gün mesai masraf talebi girilebilmektedir.;Medium;;Done;16/Jan/23 8:38 PM;;C9015107;C9015107;;;;;;;;;;CONG-4508;;;;
CONG-10282;1609965;Tr kullanıcısı ile Otopark/Toplantı tipinde masraf talebi oluşturup Kaydet butonuna tıklandığında Mesai iş kesici mesajı gözükmektedir.;Medium;;Done;16/Jan/23 8:46 PM;;C9015107;C9015107;;;;;;;;;;CONG-4413;;;;
CONG-10283;1609967;Yönetici ve Mali İşler kullanıcısında Masraf talepleri açılıp liste görünümü seçildiğinde Aşama alanında bilginin gelmediği ve boş olduğu gözükmektedir.;Low;;Done;16/Jan/23 8:54 PM;;C9015107;C9015107;;;;;;;;;;CONG-8839;;;;
CONG-10363;1623659;Masraf oluşturulmak istendiğinde HTTP 500: /Expense/GetCityList hatası alınmaktadır ve masraf talebi onaya gönderilememektedir.;High;;Done;22/Jan/23 12:55 PM;;C9015107;C9015107;;;;;;;;;;CONG-1897;;;;
CONG-10409;1627032;Kaydetme Fonksiyonu ile Yeni Adres Ekleme Alanı Kaybolmaktadır;High;;Done;23/Jan/23 10:08 PM;;C9013624;C9015441;;;;CONG-9666;;;;;;;;;;
CONG-10440;1631142;"Polonya Mali İşler kullanıcısı ile talebe gönderilen masrafın Onaylanan Tutara talep edilenden fazla tutar girildiğinde textbox altında alınan uyarı mesajı, sayfa dili Polish olmasına rağmen İngilizce gözükmektedir.";Low;;Done;25/Jan/23 1:04 PM;;C9015107;C9013957;;;;;;;;;;CONG-10369;;;;
CONG-10455;1632512;Varsayılan Tarih Silinerek Kaydedilmesi Durumunda Servis Hatası Uyarı Almaktadır;High;;Done;25/Jan/23 9:19 PM;;C9013624;C9015441;;;;CONG-10454;;;;;;;;;;
CONG-10458;1632543;Para Birimi Yerel Para Biriminden Farklı Seçildiğinde Varsayılan Teklif Satırında Seçimden Farklı Gelmektedir;High;;Done;25/Jan/23 10:40 PM;;C9013624;C9015441;;;;CONG-10457;;;;;;;;;;
CONG-10515;1640861;Zorunlu Olan Value Alanı Yıldızlı Gelmemekte;High;;Done;30/Jan/23 11:26 AM;;C9013624;C9015441;;;;CONG-10093;;;;;;;;;;
CONG-10525;1642973;Masraf kartından kopyalanan Ek Dosyalı masraf talebinin Gönder butonuna tıklandığında alınan parametrik ek dosya eksikliği iş kesici mesajının numarası yanlış gelmektedir.;Medium;;Done;31/Jan/23 9:16 AM;;C9015107;C9015107;;;;;;;;;;CONG-7794;;;;
CONG-10526;1642983;"Tr kullanıcısı ile Toplu Taşıma masraf tipinde bir talebin, Kopyalanarak limite takılmadığı gözükmektedir.";High;;Done;31/Jan/23 9:24 AM;;C9015107;C9013486;;;;;;;;;;CONG-8177;;;;
CONG-10528;1643324;"Tr kullanıcısı ile Yemek masraf tipinde bir talebin, Kopyalanarak limite takılmadığı gözükmektedir.";High;;Done;31/Jan/23 9:45 AM;;C9015107;C9013486;;;;;;;;;;CONG-8176;;;;
CONG-10546;1645006;Polonya kullanıcısı ile oluşturulan masraf talebinin kartta bulunan Kopyala butonuna tıklandığında Aynı Referans Kod iş kesici mesajı gözükmemektedir.;Medium;;Done;31/Jan/23 3:36 PM;;C9015107;C9013486;;;;;;;;;;CONG-8359;;;;
CONG-10552;1645484;Yazılım / Uygulama masraf tipindeki masrafın kopyalanarak limit iş kesici mesajına takılmadığı görülmektedir.;High;;Done;31/Jan/23 6:42 PM;;C9015107;C9015107;;;;;;;;;;CONG-8609;;;;
CONG-10588;1650504;Türkiye Bilgilerim modülü iletişim bilgilerimde sil butonları çalışmıyor;Medium;;Done;02/Feb/23 1:51 PM;;C9015118;;;;;CONG-2508;;;;;;;;;;
CONG-10624;1652450;Romanya kullanıcısı ile Yakıt masraf tipindeki tutar Yakıt Türü ve Km gibi değerler girildikten sonra otomatik olarak hesaplanmamaktadır ve boş gözükmektedir.;High;;Done;03/Feb/23 10:10 AM;;C9015107;C9013691;;;;;;;;;;CONG-10371;;;;
CONG-10979;1685408;Türkçe dili Seçili İken Bazı Alanlar Türkçe Görüntülenmemekte;Blocker;;;17/Feb/23 4:28 PM;;C9013624;C9015441;;;;CONG-10978;;;;;;;;;;
CONG-10994;1690362;"CalculateKmPrice servisinde hata alınmakta, Yakıt tutarı otomatik olarak hesaplanamamaktadır";Medium;;Done;21/Feb/23 9:24 AM;;C9015107;C9015107;;;;;;;;;;CONG-10480;;;;
CONG-11035;1696674;Formdan Onay İşlemi Sırasında Zorunlu Olmayan Project Code Alanın Zorunludur Uyarısı Alması;Medium;;;22/Feb/23 6:17 PM;;C9013624;C9015441;;;;CONG-11034;;;;;;;;;;
CONG-11069;1702456;Taleplerim ekranında filtreleme işlemi yapılmıyor.;Medium;;;24/Feb/23 3:20 PM;;C9015118;;;;;CONG-1989;;;;;;;;;;
CONG-11150;1708599;Talep Kapatılırken Uyarı Mesajında Çeviri Hatası;Blocker;;;28/Feb/23 10:36 AM;;C9013624;26065609;;;;CONG-11034;;;;;;;;;;
CONG-11293;1730477;GetPackage metod hatası;High;;Done;08/Mar/23 10:16 AM;;C9015107;C9015107;;;;CONG-10373;;;;;;;;;;
CONG-11301;1731050; Satınalma Talebi Oluşturulduğunda Default Olarak Gelen Yerel Para Birimi Ilgili Alana Gelmemekte;Medium;;Done;08/Mar/23 12:08 PM;;C9013624;26065609;;;;CONG-11251;;;;;;;;;;
CONG-11364;1735319;Requester ile masraf kaydedildikten sonra Gönder butonuna tıklandığında sayfa yüklenme ekranına düştüğü ve yüklendiğinde masrafın gönderilmeyerek Process Action hatasına düştüğü görülmektedir.;Medium;;;09/Mar/23 4:46 PM;;C9015107;C9013486;;;;CONG-10143;;;;;;;;;;
