Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-5023;1192011;Mali İşlerden Reject yapılmış masrafın requester adımında kontrol edilmesinin senaryosu;High;Generic;Done;04/Jul/22 2:22 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5022;1192009;İlk onaycıdan Reject yapılmış masrafın requester adımında kontrol edilmesinin senaryosu;High;Generic;Done;04/Jul/22 2:21 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5021;1192005;Mali İşlerden send back yapılmış masrafın uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:20 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5020;1192003;İlk onaycıdan send back yapılmış masrafın uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:20 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5019;1192001;Draft statüsünde olan bir masrafın uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:19 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5018;1192000;Masrafın draft olarak kaydedilmesinin senaryosu;Medium;Generic;Done;04/Jul/22 2:19 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5017;1191896;"Taksi ,Transfer / Bayi - Servis Ziyareti masraf tipi / harcama sebebinin uçtan uca test senaryosu";High;Generic;Done;04/Jul/22 2:18 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5016;1191895;"Köprü, Otoyol vb geçiş / Bayi - Servis Ziyareti masraf tipi / harcama sebebinin uçtan uca test senaryosu";High;Generic;Done;04/Jul/22 2:17 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5015;1191894;Toplu Taşıma/ Bayi - Servis Ziyareti masraf tipi / harcama sebebinin uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:16 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5014;1191892;Yakıt / Bayi - Servis Ziyareti masraf tipi / harcama sebebinin uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:16 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5013;1191891;Adblue masraf tipi için giriş yapılamadığında alınan iş kesici mesajın test senaryosu;Medium;Generic;Done;04/Jul/22 2:15 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaIsKesiciEkranMesaj
CONG-5012;1191888;Araç yıkama masraf tipinin aylık limit değeri kontrolünde iş kesici mesajın alınması;Medium;Generic;Done;04/Jul/22 2:15 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaLimitSenaryolari
CONG-5011;1191884;Araç Yıkama masraf tipinin maksimum değerinin limit senaryosu;Medium;Generic;Done;04/Jul/22 2:14 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaLimitSenaryolari
CONG-5005;1191873;Taksi - Transfer masraf tipi için maliyet merkezi tanımlı kullanıcı ile akışın uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:10 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5004;1191870;"Şirket aracı olmayan kullanıcılar için Köprü, Otoyol masraf tipinin uçtan uca test senaryosu";High;Generic;Done;04/Jul/22 2:08 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5002;1191861;Şirket aracı olmayan kullanıcılar için Otopark masraf tipinin uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 2:07 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5001;1191830;Şirket aracı olmayan kullanıcılar için Yakıt masraf tipinin uçtan uca test senaryosu;High;Generic;Done;04/Jul/22 1:57 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
CONG-5000;1191829;"Şirket aracı olan kullanıcılar için Köprü, Otoyol masraf tipinin  uçtan uca test senaryosu";High;Generic;Done;04/Jul/22 1:56 PM;PASS;C9013691;C9015107;/Masraf/Arcelik-Pazarlama/PazarlamaRegresyonSeti/PazarlamaAkisSenaryolari
