Key;Id;Summary;Priority;Test Type;Resolution;Created;TestRunStatus;Reporter;Assignee;Test Repository Path
CONG-6822;1269587;E-Fatura Muhasebeleşmemiş Tevkifatlı SAS'sız Karlılıksız Müşteriden Gelen kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 1:49 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6823;1269588;E-Fatura Muhasebeleşmemiş Sıfır Bedelli SAS'sız Karlılıksız Müşteriden Gelen kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 1:50 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6824;1269589;E-Fatura Muhasebeleşmemiş Sıfır Bedelli SAS'sız Karlılıksız Müşteriden Gelen kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 1:52 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6825;1269590;E-Fatura Muhasebeleşmemiş İskontolu SAS'sız Karlılıksız Endirekt kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 1:54 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6826;1269592;E-Fatura Muhasebeleşmemiş İskontolu SAS'sız Karlılıksız Endirekt kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 1:55 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6827;1269594;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız Endirekt kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 1:56 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6828;1269595;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız Endirekt kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 1:56 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6830;1269598;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız YMSF kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 1:59 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6831;1269599;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız YMSF kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:00 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6832;1269902;E-Fatura Muhasebeleşmemiş KDV'li SAS'sız Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 2:06 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6833;1269904;E-Fatura Muhasebeleşmemiş KDV'li SAS'sız Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:07 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6834;1269906;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 2:09 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6835;1269907;E-Fatura Muhasebeleşmemiş İskontolu SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:10 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6836;1269908;E-Fatura Muhasebeleşmemiş Tevkifatlı SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 2:11 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6837;1269909;E-Fatura Muhasebeleşmemiş Tevkifatlı SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:11 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6838;1269912;E-Fatura Muhasebeleşmemiş ÖİV'li SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 2:13 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6839;1269913;E-Fatura Muhasebeleşmemiş ÖİV'li SAS'lı Karlılıksız Endirekt Farklı Para Biriminden kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:13 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6840;1269914;E-Fatura Muhasebeleşmemiş ÖİV'li SAS'lı Karlılıksız Endirekt kombinasyonlu faturanın mali işler adımında belge no girilmeden onaylanması;Low;Manual;;18/Aug/22 2:15 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6841;1269915;E-Fatura Muhasebeleşmemiş ÖİV'li SAS'lı Karlılıksız Endirekt kombinasyonlu faturanın kalemlerine veri girilerek fatura sahibine gönderilmesi;Low;Manual;;18/Aug/22 2:15 PM;TODO;C9029069;C9029069;/Fatura/Turkiye/Pazarlama/AkisSenaryolari
CONG-6850;1273587;İki onaycılı talebin 2.onaycı'dan reddedilmesi (Sickness) ;High;Generic;Done;22/Aug/22 9:48 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Balkanlar/Regresyon
CONG-6851;1273659;Yıllık izin talebinin sil butonuyla iptal edilmesi (Beyaz Yaka);High;Generic;Done;22/Aug/22 10:37 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Turkiye/Regresyon
CONG-6852;1273682;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;22/Aug/22 10:54 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Romanya/Regresyon
CONG-6854;1274017;Çekya Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;22/Aug/22 11:22 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Çekya/Regresyon
CONG-6855;1274029;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;22/Aug/22 11:28 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Balkanlar/Regresyon
CONG-6856;1274039;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;22/Aug/22 11:33 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Rusya/Regresyon
CONG-6857;1274045;Annual Leave talebinin delete butonuyla iptal edilmesi;High;Generic;Done;22/Aug/22 11:37 AM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Portekiz/Regresyon
CONG-6861;1274874;Onay bekleniyor statüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 3:46 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Romanya/Regresyon
CONG-6862;1274893;Çekya Onay bekleniyor satatüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 4:09 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Çekya/Regresyon
CONG-6864;1275121;Onay bekleniyor satatüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 4:24 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Balkanlar/Regresyon
CONG-6869;1275140;Onay bekleniyor satatüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 4:31 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Rusya/Regresyon
CONG-6870;1275152;Onay bekleniyor satatüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 4:41 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/Portekiz/Regresyon
CONG-6872;1275190;Onay bekleniyor satatüsündeki Annual Leave talebinde değişiklik yapmak;High;Generic;Done;22/Aug/22 4:54 PM;PASS;C9012751;C9015118;/HRangers/İzinlerim/İspanya/Regresyon
CONG-6879;1275381;Servis Organizasyonu Sözleşmenin Ödeme Vade Artışı;High;Generic;Done;22/Aug/22 10:55 PM;PASS;C9013624;C9013624;/BoldPilot/PaymentTermChange/ProductSourcing/RegresyonSeti
CONG-6881;1275383;Beko hong kong sözleşmeleri bulunan temin ürün satıcısının yeni ödeme vade süresinin ileri tarihten geçerli erken ödeme vadesi girilmesi;Blocker;Generic;Done;22/Aug/22 11:15 PM;PASS;C9013624;C9013624;/BoldPilot/PaymentTermChange/ProductSourcing/SapTest
CONG-6898;1277789;Temin ürün kullanıcının oluşturduğu vade azalışı talebin yöneticisi tarafından reddedilmesi;High;Generic;Done;23/Aug/22 5:07 PM;PASS;C9013624;C9013624;/BoldPilot/PaymentTermChange/ProductSourcing/RegresyonSeti
CONG-6899;1277796;Temin ürün direktörü tarafından vade artışı talebin karttan reddedilmesi;High;Generic;Done;23/Aug/22 5:18 PM;PASS;C9013624;C9013624;/BoldPilot/PaymentTermChange/ProductSourcing/RegresyonSeti
CONG-6912;1280440;"Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 9:41 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6913;1280442;Farklı Para Biriminden farklı kombinasyonlar ile fatura kalemlerinde veri girilerek fatura sahibine gönderilmesi;Low;Generic;;25/Aug/22 9:42 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
CONG-6914;1280480;"Müşteriden Gelen Farklı Para Biriminden Mali işler adımında belge no girilmeden ""onay"" butonuna basılması";Low;Generic;;25/Aug/22 10:13 AM;TODO;C9013469;C9013469;/Fatura/Turkiye/Arçelik/AkisSenaryolari
